connections,concurrency,number of messages,size in bytes,Average Latency in us
32,512,2,1048576,10489
32,1,4,2,7
32,1,4,4,5
32,1,4,8,4
32,1,4,16,6
32,1,4,32,4
32,1,4,64,5
32,1,4,128,5
32,1,4,256,4
32,1,4,512,7
32,1,4,1024,7
32,1,4,2048,11
32,1,4,4096,35
32,1,4,8192,25
32,1,4,16384,45
32,1,4,32768,77
32,1,4,65536,139
32,1,4,131072,1341
32,1,4,262144,2325
32,1,4,524288,5809
32,1,4,1048576,12715
32,2,4,2,39
32,2,4,4,34
32,2,4,8,38
32,2,4,16,26
32,2,4,32,24
32,2,4,64,22
32,2,4,128,56
32,2,4,256,22
32,2,4,512,26
32,2,4,1024,25
32,2,4,2048,27
32,2,4,4096,31
32,2,4,8192,31
32,2,4,16384,52
32,2,4,32768,80
32,2,4,65536,136
32,2,4,131072,1380
32,2,4,262144,2117
32,2,4,524288,4907
32,2,4,1048576,7484
32,4,4,2,32
32,4,4,4,25
32,4,4,8,21
32,4,4,16,15
32,4,4,32,19
32,4,4,64,18
32,4,4,128,16
32,4,4,256,22
32,4,4,512,21
32,4,4,1024,19
32,4,4,2048,20
32,4,4,4096,22
32,4,4,8192,50
32,4,4,16384,52
32,4,4,32768,66
32,4,4,65536,990
32,4,4,131072,3781
32,4,4,262144,999
32,4,4,524288,2105
32,4,4,1048576,4244
32,8,4,2,31
32,8,4,4,20
32,8,4,8,17
32,8,4,16,24
32,8,4,32,19
32,8,4,64,20
32,8,4,128,16
32,8,4,256,31
32,8,4,512,22
32,8,4,1024,16
32,8,4,2048,26
32,8,4,4096,59
32,8,4,8192,33
32,8,4,16384,74
32,8,4,32768,96
32,8,4,65536,1074
32,8,4,131072,1223
32,8,4,262144,1007
32,8,4,524288,2848
32,8,4,1048576,4784
32,16,4,2,50
32,16,4,4,32
32,16,4,8,23
32,16,4,16,29
32,16,4,32,32
32,16,4,64,28
32,16,4,128,29
32,16,4,256,38
32,16,4,512,25
32,16,4,1024,36
32,16,4,2048,38
32,16,4,4096,33
32,16,4,8192,40
32,16,4,16384,464
32,16,4,32768,104
32,16,4,65536,608
32,16,4,131072,655
32,16,4,262144,1435
32,16,4,524288,2274
32,16,4,1048576,7174
32,32,4,2,24
32,32,4,4,22
32,32,4,8,23
32,32,4,16,22
32,32,4,32,20
32,32,4,64,6
32,32,4,128,6
32,32,4,256,6
32,32,4,512,9
32,32,4,1024,8
32,32,4,2048,10
32,32,4,4096,16
32,32,4,8192,199
32,32,4,16384,309
32,32,4,32768,434
32,32,4,65536,428
32,32,4,131072,834
32,32,4,262144,2432
32,32,4,524288,1939
32,32,4,1048576,3724
32,64,4,2,22
