connections,concurrency,number of messages,size in bytes,Average Latency in us
32,512,4,65536,1233
32,512,4,131072,456
32,512,4,262144,946
32,512,4,524288,1779
32,512,4,1048576,3674
32,1,8,2,4
32,1,8,4,4
32,1,8,8,4
32,1,8,16,4
32,1,8,32,4
32,1,8,64,3
32,1,8,128,5
32,1,8,256,5
32,1,8,512,6
32,1,8,1024,6
32,1,8,2048,7
32,1,8,4096,14
32,1,8,8192,19
32,1,8,16384,37
32,1,8,32768,71
32,1,8,65536,695
32,1,8,131072,1355
32,1,8,262144,2444
32,1,8,524288,6085
32,1,8,1048576,32823
32,2,8,2,23
32,2,8,4,15
32,2,8,8,12
32,2,8,16,13
32,2,8,32,13
32,2,8,64,15
32,2,8,128,15
32,2,8,256,4
32,2,8,512,7
32,2,8,1024,9
32,2,8,2048,18
32,2,8,4096,23
32,2,8,8192,34
32,2,8,16384,57
32,2,8,32768,332
32,2,8,65536,296
32,2,8,131072,695
32,2,8,262144,1798
32,2,8,524288,3233
32,2,8,1048576,103571
32,4,8,2,34
32,4,8,4,35
32,4,8,8,15
32,4,8,16,19
32,4,8,32,33
32,4,8,64,25
32,4,8,128,40
32,4,8,256,24
32,4,8,512,8
32,4,8,1024,9
32,4,8,2048,32
32,4,8,4096,32
32,4,8,8192,52
32,4,8,16384,68
32,4,8,32768,473
32,4,8,65536,262
32,4,8,131072,905
32,4,8,262144,1072
32,4,8,524288,16466
32,4,8,1048576,6199
32,8,8,2,21
32,8,8,4,23
32,8,8,8,24
32,8,8,16,22
32,8,8,32,29
32,8,8,64,23
32,8,8,128,23
32,8,8,256,23
32,8,8,512,26
32,8,8,1024,31
32,8,8,2048,43
32,8,8,4096,35
32,8,8,8192,41
32,8,8,16384,370
32,8,8,32768,797
32,8,8,65536,1857
32,8,8,131072,1302
32,8,8,262144,1554
32,8,8,524288,1969
32,8,8,1048576,6746
32,16,8,2,25
32,16,8,4,19
32,16,8,8,21
32,16,8,16,24
32,16,8,32,19
32,16,8,64,20
32,16,8,128,24
32,16,8,256,19
32,16,8,512,20
32,16,8,1024,19
32,16,8,2048,26
32,16,8,4096,30
32,16,8,8192,385
32,16,8,16384,531
32,16,8,32768,221
32,16,8,65536,348
32,16,8,131072,449
32,16,8,262144,1416
32,16,8,524288,1776
32,16,8,1048576,4124
32,32,8,2,18
32,32,8,4,5
32,32,8,8,4
32,32,8,16,4
32,32,8,32,4
32,32,8,64,4
32,32,8,128,5
32,32,8,256,4
32,32,8,512,5
32,32,8,1024,7
32,32,8,2048,8
32,32,8,4096,101
32,32,8,8192,75
32,32,8,16384,109
32,32,8,32768,129
32,32,8,65536,206
32,32,8,131072,551
32,32,8,262144,931
32,32,8,524288,1915
32,32,8,1048576,3944
32,64,8,2,32
32,64,8,4,27
32,64,8,8,23
32,64,8,16,19
32,64,8,32,24
32,64,8,64,22
32,64,8,128,24
32,64,8,256,23
32,64,8,512,24
32,64,8,1024,27
32,64,8,2048,29
32,64,8,4096,455
32,64,8,8192,173
32,64,8,16384,558
32,64,8,32768,372
32,64,8,65536,6150
32,64,8,131072,2786
32,64,8,262144,1239
32,64,8,524288,2266
32,64,8,1048576,4046
32,128,8,2,31
32,128,8,4,24
32,128,8,8,7
32,128,8,16,9
32,128,8,32,7
32,128,8,64,7
32,128,8,128,7
32,128,8,256,7
32,128,8,512,7
32,128,8,1024,2448
32,128,8,2048,260
32,128,8,4096,385
32,128,8,8192,686
32,128,8,16384,392
32,128,8,32768,229
32,128,8,65536,792
32,128,8,131072,517
32,128,8,262144,948
32,128,8,524288,3059
32,128,8,1048576,5014
32,256,8,2,12
32,256,8,4,17
32,256,8,8,12
32,256,8,16,7
32,256,8,32,5
32,256,8,64,5
32,256,8,128,15
32,256,8,256,5
32,256,8,512,195
32,256,8,1024,208
32,256,8,2048,248
32,256,8,4096,1383
32,256,8,8192,417
32,256,8,16384,130
32,256,8,32768,209
32,256,8,65536,282
32,256,8,131072,559
32,256,8,262144,1071
32,256,8,524288,2944
32,256,8,1048576,4385
32,512,8,2,11
32,512,8,4,24
32,512,8,8,6
32,512,8,16,8
32,512,8,32,16
32,512,8,64,8
32,512,8,128,10
32,512,8,256,59
32,512,8,512,46
32,512,8,1024,31
32,512,8,2048,44
32,512,8,4096,53
32,512,8,8192,64
32,512,8,16384,85
32,512,8,32768,579
32,512,8,65536,230
32,512,8,131072,425
32,512,8,262144,906
32,512,8,524288,2889
32,512,8,1048576,4742
32,1,16,2,3
32,1,16,4,3
32,1,16,8,4
32,1,16,16,6
32,1,16,32,3
32,1,16,64,5
32,1,16,128,4
32,1,16,256,5
32,1,16,512,5
32,1,16,1024,6
32,1,16,2048,9
32,1,16,4096,13
32,1,16,8192,21
32,1,16,16384,228
32,1,16,32768,354
32,1,16,65536,692
32,1,16,131072,1461
32,1,16,262144,2982
32,1,16,524288,5678
32,1,16,1048576,10709
32,2,16,2,45
32,2,16,4,9
32,2,16,8,4
32,2,16,16,3
32,2,16,32,10
32,2,16,64,3
32,2,16,128,5
32,2,16,256,4
32,2,16,512,5
32,2,16,1024,6
32,2,16,2048,8
32,2,16,4096,21
32,2,16,8192,20
32,2,16,16384,75
32,2,16,32768,189
32,2,16,65536,444
32,2,16,131072,817
32,2,16,262144,2865
32,2,16,524288,2876
32,2,16,1048576,6047
32,4,16,2,27
32,4,16,4,24
32,4,16,8,32
32,4,16,16,23
32,4,16,32,22
32,4,16,64,22
32,4,16,128,15
32,4,16,256,28
32,4,16,512,27
32,4,16,1024,36
32,4,16,2048,25
32,4,16,4096,46
32,4,16,8192,92
32,4,16,16384,646
32,4,16,32768,349
32,4,16,65536,341
32,4,16,131072,466
32,4,16,262144,1560
32,4,16,524288,2499
32,4,16,1048576,6377
32,8,16,2,28
32,8,16,4,24
32,8,16,8,22
32,8,16,16,29
32,8,16,32,27
32,8,16,64,23
32,8,16,128,23
32,8,16,256,19
32,8,16,512,4
32,8,16,1024,5
32,8,16,2048,6
32,8,16,4096,333
32,8,16,8192,210
32,8,16,16384,240
32,8,16,32768,394
32,8,16,65536,327
32,8,16,131072,21923
32,8,16,262144,1813
32,8,16,524288,1843
32,8,16,1048576,4496
32,16,16,2,17
32,16,16,4,9
32,16,16,8,3
32,16,16,16,3
32,16,16,32,7
32,16,16,64,5
32,16,16,128,6
32,16,16,256,3
32,16,16,512,3
32,16,16,1024,4
32,16,16,2048,8
32,16,16,4096,150
32,16,16,8192,147
32,16,16,16384,110
32,16,16,32768,207
32,16,16,65536,202
32,16,16,131072,390
32,16,16,262144,1089
32,16,16,524288,1939
32,16,16,1048576,3867
32,32,16,2,31
32,32,16,4,13
32,32,16,8,5
32,32,16,16,5
32,32,16,32,4
32,32,16,64,5
32,32,16,128,5
32,32,16,256,6
32,32,16,512,5
32,32,16,1024,7
32,32,16,2048,103
32,32,16,4096,272
32,32,16,8192,70
32,32,16,16384,83
32,32,16,32768,130
32,32,16,65536,509
32,32,16,131072,492
32,32,16,262144,911
32,32,16,524288,1874
32,32,16,1048576,6511
32,64,16,2,27
32,64,16,4,24
32,64,16,8,11
32,64,16,16,14
32,64,16,32,5
32,64,16,64,9
32,64,16,128,5
32,64,16,256,5
32,64,16,512,6
32,64,16,1024,400
32,64,16,2048,377
32,64,16,4096,513
32,64,16,8192,891
32,64,16,16384,525
32,64,16,32768,442
32,64,16,65536,1395
32,64,16,131072,4190
32,64,16,262144,943
32,64,16,524288,1727
32,64,16,1048576,5462
32,128,16,2,14
32,128,16,4,4
32,128,16,8,10
32,128,16,16,15
32,128,16,32,6
32,128,16,64,5
32,128,16,128,46
32,128,16,256,13
32,128,16,512,58
32,128,16,1024,111
32,128,16,2048,109
32,128,16,4096,148
32,128,16,8192,278
32,128,16,16384,278
32,128,16,32768,170
32,128,16,65536,238
32,128,16,131072,419
32,128,16,262144,1947
32,128,16,524288,1983
32,128,16,1048576,4117
32,256,16,2,16
32,256,16,4,20
32,256,16,8,19
32,256,16,16,22
32,256,16,32,14
32,256,16,64,17
32,256,16,128,43
32,256,16,256,49
32,256,16,512,497
32,256,16,1024,106
32,256,16,2048,155
32,256,16,4096,197
32,256,16,8192,210
32,256,16,16384,125
32,256,16,32768,393
32,256,16,65536,260
32,256,16,131072,977
32,256,16,262144,896
32,256,16,524288,3040
32,256,16,1048576,4273
32,512,16,2,14
32,512,16,4,8
32,512,16,8,15
32,512,16,16,10
32,512,16,32,8
32,512,16,64,28
32,512,16,128,17
32,512,16,256,135
32,512,16,512,121
32,512,16,1024,133
32,512,16,2048,559
32,512,16,4096,305
32,512,16,8192,673
32,512,16,16384,134
32,512,16,32768,131
32,512,16,65536,231
32,512,16,131072,660
32,512,16,262144,1018
32,512,16,524288,2350
32,512,16,1048576,4065
32,1,32,2,3
32,1,32,4,4
32,1,32,8,3
32,1,32,16,4
32,1,32,32,3
32,1,32,64,4
32,1,32,128,3
32,1,32,256,4
32,1,32,512,4
32,1,32,1024,6
32,1,32,2048,8
32,1,32,4096,53
32,1,32,8192,78
32,1,32,16384,161
32,1,32,32768,330
32,1,32,65536,750
32,1,32,131072,1539
32,1,32,262144,2928
32,1,32,524288,3934
32,1,32,1048576,12104
32,2,32,2,3
32,2,32,4,3
32,2,32,8,2
32,2,32,16,3
32,2,32,32,3
32,2,32,64,3
32,2,32,128,3
32,2,32,256,3
32,2,32,512,3
32,2,32,1024,4
32,2,32,2048,6
32,2,32,4096,43
32,2,32,8192,49
32,2,32,16384,95
32,2,32,32768,191
32,2,32,65536,394
32,2,32,131072,762
32,2,32,262144,1524
32,2,32,524288,2510
32,2,32,1048576,6407
32,4,32,2,17
32,4,32,4,12
32,4,32,8,15
32,4,32,16,20
32,4,32,32,18
32,4,32,64,19
32,4,32,128,18
32,4,32,256,22
32,4,32,512,18
32,4,32,1024,19
32,4,32,2048,21
32,4,32,4096,26
32,4,32,8192,122
32,4,32,16384,80
32,4,32,32768,499
32,4,32,65536,239
32,4,32,131072,542
32,4,32,262144,1140
32,4,32,524288,1372
32,4,32,1048576,3635
32,8,32,2,22
32,8,32,4,21
32,8,32,8,21
32,8,32,16,17
32,8,32,32,18
32,8,32,64,22
32,8,32,128,16
32,8,32,256,20
32,8,32,512,22
32,8,32,1024,23
32,8,32,2048,2027
32,8,32,4096,272
32,8,32,8192,212
32,8,32,16384,249
32,8,32,32768,591
32,8,32,65536,855
32,8,32,131072,2601
32,8,32,262144,1143
32,8,32,524288,2356
32,8,32,1048576,3283
32,16,32,2,11
32,16,32,4,6
32,16,32,8,21
32,16,32,16,19
32,16,32,32,5
32,16,32,64,5
32,16,32,128,5
32,16,32,256,6
32,16,32,512,7
32,16,32,1024,113
32,16,32,2048,28
32,16,32,4096,149
32,16,32,8192,83
